Location_Name	Reviewer_Name	Reviewer_Posts	Reviewer_Likes	Review_Title	Review_Date 	Review_Text	Review_Star_Rating	Review_ID	Date_of_Experience 	User_Location
	359philip	1	1	Vritomartis hotel Crete	Reviewed 16 June 2015	"When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.
The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.
Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some...When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some trip or activity is offered; there is a full time organizer, who does everything to help the guests. We tried to go to Gavdos on two days, but were frustrated by the weather. Nonetheless it was pleasant to walk into the little town of Chora Sphakion, where everyone was friendly and made us welcome. The hotel sends a small bus down several times a day to bring guests back.All the staff at Vritomartis are friendly and helpful, and speak very good English. It seems as though they cannot do enough to ensure that guests have a first-class stay. We thoroughly enjoyed ourselves and wished we had booked for longer. We hope to return next year.More"	5	280566859	May-15	Oxfordshire, United Kingdom
	359philip	1	1	Vritomartis hotel Crete	Reviewed 16 June 2015	"When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.
The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.
Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some...When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some trip or activity is offered; there is a full time organizer, who does everything to help the guests. We tried to go to Gavdos on two days, but were frustrated by the weather. Nonetheless it was pleasant to walk into the little town of Chora Sphakion, where everyone was friendly and made us welcome. The hotel sends a small bus down several times a day to bring guests back.All the staff at Vritomartis are friendly and helpful, and speak very good English. It seems as though they cannot do enough to ensure that guests have a first-class stay. We thoroughly enjoyed ourselves and wished we had booked for longer. We hope to return next year.More"	5	280566859	May-15	Oxfordshire, United Kingdom
	John J	6	8	Close to perfection	Reviewed 15 June 2015	We were welcomed from the moment we entered the door by a very friendly happy staff and from then on it was all as it says on the web site and in the 5 star reviews. .  In particular we loved the spacious and peaceful environment around the hotel pool and at the beach. But the whole resort operation was very efficient, taxi service, beach bar, pool bar, trips etc. and the inevitable result was a perfect holiday. The holiday exceeded our expectations and we also will be back next year.	5	280292028	May-15	United Kingdom
	Geoff C	9	7	Lovely resort	Reviewed 14 June 2015	Lovely place, very friendly staff. Bungalow room was cleaned every day. Food very good.   Nice pool, free activities, boule, volley ball, yoga, aqua aerobics etc. The best naturist resort we have visited, will go back.	5	280188474	Jun-15	Bedford, United Kingdom
	Piet_en_Yvonne	18	4	excellent hotel and bungalows	Reviewed 11 June 2015	over the past 6 years we spent our holiday at vritomartis. the last few years even twice a year.The place is very relaxing, with excellent staff who knows how to spoil their guests.The excursion program is very various and everything is organized at the hotel.a lot of regular guests comes for a long time to vritomartis. this shows how good live is over there.Away from the big touristic places ensures a relaxing holiday.	5	279481702	May-15	Purmerend
	Jan W	1	1	A very nice and ultimate relaxed holiday.	Reviewed 5 June 2015	I have been there with my wife Edith for two weeks, the breakfast was fine with lots of healthy ingredients and the dinners where great. Also the lunches at the beach and the poolbar where fine and delicious. The pool was super, I could work on my shape by swimming 500 meter each day;-) The nights where very nice with lots of music and entertainment. And all the ladys of the staff where very nice en helpfull. We really come again, so relaxed.	4	278103154	May-15	Noordwijk, The Netherlands
	Olwyn H	100	32	ultimate relaxation	Reviewed 3 June 2015	What more can one ask, sun, excellent hotel, and wonderful location. Once again we found ourselves back at Vritomartis. We still find new places to visit but the highlight is the pleasure of good company while relaxing in the Cretan sun by the pool or on the beach. We meet old friends and make new ones each year. The new facelift has made the hotel even more attractive if that is possible . The upgraded dining room is brilliant and the food is even better than before.  "I'll be back!" is the unfailing comment from all first time visitors . Just leave some room for me, as I will be back next year too.	5	277503351	Apr-15	Ipswich, United Kingdom
	359philip	1	1	Vritomartis hotel Crete	Reviewed 16 June 2015	"When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.
The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.
Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some...When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some trip or activity is offered; there is a full time organizer, who does everything to help the guests. We tried to go to Gavdos on two days, but were frustrated by the weather. Nonetheless it was pleasant to walk into the little town of Chora Sphakion, where everyone was friendly and made us welcome. The hotel sends a small bus down several times a day to bring guests back.All the staff at Vritomartis are friendly and helpful, and speak very good English. It seems as though they cannot do enough to ensure that guests have a first-class stay. We thoroughly enjoyed ourselves and wished we had booked for longer. We hope to return next year.More"	5	280566859	May-15	Oxfordshire, United Kingdom
	359philip	1	1	Vritomartis hotel Crete	Reviewed 16 June 2015	"When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.
The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.
Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some...When we arrived at Vritomartis towards the end of May 2015,  tired after a long journey from England, we were immediately impressed by the friendly welcome we were given. After checking in and having been given essential imformation, we were shown to our bungalow room. This was very pleasant and clean, with a fine view over the sea to the island of Gavdos. Cleaniliness is a priority at Vritomartis: all parts of the hotel and grounds are kept scrupulously clean, and the rooms are attended to punctiliously every day.The food is very good. At breakfast there is a wide choice of bread, cheeses, meats, salads, fruit, omelette, bacon, fried and boiled eggs, fruit juices, and coffee. Lunch in the shade by the swimming pool is most pleasant; again a wide choice of food, and excellent beer. At dinner there is a wide choice of salads, soup, vegetables, three different main courses, cakes, and fruits. Cretan wine is delightful. The bar is well stocked, and the prices are impressively low.Vritomartis is an excellent place to come to for a week, especially when one is stressed and exhausted. It is most relaxing to lie by the pool, swim if you must, and read. The beach is fifteen minutes away on foot; there is a small bus run by the hotel for those who don't fancy the walk. The water is clear,and the small bay good for swimming. Every day some trip or activity is offered; there is a full time organizer, who does everything to help the guests. We tried to go to Gavdos on two days, but were frustrated by the weather. Nonetheless it was pleasant to walk into the little town of Chora Sphakion, where everyone was friendly and made us welcome. The hotel sends a small bus down several times a day to bring guests back.All the staff at Vritomartis are friendly and helpful, and speak very good English. It seems as though they cannot do enough to ensure that guests have a first-class stay. We thoroughly enjoyed ourselves and wished we had booked for longer. We hope to return next year.More"	5	280566859	May-15	Oxfordshire, United Kingdom
	Paul N	32	15	Absolute bliss	Reviewed 31 May 2015	This was my 9th visit to Vritomartis,so I think it is fair to say I love the place.There have been some staff changes,and new decor,and my whole trip was splendid.I am planning to visit again in October	5	275885409	May-15	Telford, United Kingdom
